event_id,event_class,terminal_label,anchor_date,profile,bucket,state,first_occurrence_date,offset_days
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,early_warning,FLAT,2021-10-11,-28
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,target_lead,FLAT,2021-10-25,-14
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,near_event,FLAT,2021-11-02,-6
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,immediate_after,FLAT,2021-11-09,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,medium_after,FLAT,2021-12-07,29
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,early_warning,FLAT,2025-04-24,-28
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,target_lead,FLAT,2025-05-08,-14
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,near_event,FLAT,2025-05-16,-6
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,immediate_after,FLAT,2025-05-23,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,medium_after,FLAT,2025-06-20,29
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,early_warning,FLAT,2025-04-24,-28
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,target_lead,FLAT,2025-05-08,-14
