event_id,event_class,terminal_label,anchor_date,profile,bucket,bucket_start,bucket_end,total_rows,data_insufficient_rows,classified_rows,normal_bull_count,normal_bull_fraction,btc_leadership_maturing_count,btc_leadership_maturing_fraction,late_bull_rotation_count,late_bull_rotation_fraction,exhaustion_watch_count,exhaustion_watch_fraction,de_risk_1_count,de_risk_1_fraction,de_risk_2_count,de_risk_2_fraction,flat_count,flat_fraction,de_risk_1_or_worse_fraction,de_risk_2_or_worse_fraction
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,BALANCED,target_lead,2021-10-25,2021-11-01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,BALANCED,near_event,2021-11-02,2021-11-08,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,BALANCED,immediate_after,2021-11-09,2021-12-06,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,BALANCED,medium_after,2021-12-07,2022-02-06,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,early_warning,2021-10-11,2021-10-24,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,target_lead,2021-10-25,2021-11-01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,near_event,2021-11-02,2021-11-08,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,immediate_after,2021-11-09,2021-12-06,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,CONSERVATIVE,medium_after,2021-12-07,2022-02-06,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,early_warning,2025-04-24,2025-05-07,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
