family,valid_z_count,median_abs_z,p75_abs_z,p90_abs_z,max_abs_z,abs_z_ge_1_count,abs_z_ge_2_count
BREADTH,28,0.674490759477,0.674490759477,1.94852886071,2.69796303791,6,2
MOMENTUM_EXHAUSTION,98,0.674490759477,1.03413981306,1.80253868866,3.37245379738,28,8
LEADERSHIP_MIGRATION,98,0.610028544255,1.15064147493,2.00827615505,5.14774924661,30,11
BTC_TREND_MATURITY,126,0.550558964497,1.23391908185,2.30026610039,5.97735506671,36,19
