asset,block,binance_additive,hyperliquid_additive,binance_compounded,hyperliquid_compounded,binance_event_count,hyperliquid_event_count
BNB,2023-05-26 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-26 08:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-26 16:00:00+00:00,0.000000000000,0.000094332700,0.000000000000,0.000094332700,1.000000000000,1.000000000000
BNB,2023-05-27 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-27 08:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-27 16:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-28 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-28 08:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-28 16:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-29 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-29 08:00:00+00:00,0.000055090000,0.000387781800,0.000055090000,0.000387781800,1.000000000000,1.000000000000
BNB,2023-05-29 16:00:00+00:00,0.000184330000,0.000469626600,0.000184330000,0.000469626600,1.000000000000,1.000000000000
BNB,2023-05-30 00:00:00+00:00,0.000132530000,0.000376067200,0.000132530000,0.000376067200,1.000000000000,1.000000000000
BNB,2023-05-30 08:00:00+00:00,0.000206740000,0.000475165700,0.000206740000,0.000475165700,1.000000000000,1.000000000000
BNB,2023-05-30 16:00:00+00:00,0.000104720000,0.000427643400,0.000104720000,0.000427643400,1.000000000000,1.000000000000
BNB,2023-05-31 00:00:00+00:00,0.000000000000,0.000162009700,0.000000000000,0.000162009700,1.000000000000,1.000000000000
BNB,2023-05-31 08:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-05-31 16:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-06-01 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-06-01 08:00:00+00:00,0.000081870000,0.000306377300,0.000081870000,0.000306377300,1.000000000000,1.000000000000
BNB,2023-06-01 16:00:00+00:00,0.000000000000,0.000185918900,0.000000000000,0.000185918900,1.000000000000,1.000000000000
BNB,2023-06-02 00:00:00+00:00,0.000000000000,0.000100000000,0.000000000000,0.000100000000,1.000000000000,1.000000000000
BNB,2023-06-02 08:00:00+00:00,0.000040570000,0.000281404400,0.000040570000,0.000281404400,1.000000000000,1.000000000000
BNB,2023-06-02 16:00:00+00:00,0.000000000000,0.000199994800,0.000000000000,0.000199994800,1.000000000000,1.000000000000
BNB,2023-06-03 00:00:00+00:00,0.000078320000,0.000195883400,0.000078320000,0.000195883400,1.000000000000,1.000000000000
BNB,2023-06-03 08:00:00+00:00,0.000045910000,0.000211267300,0.000045910000,0.000211267300,1.000000000000,1.000000000000
BNB,2023-06-03 16:00:00+00:00,0.000009430000,0.000251993200,0.000009430000,0.000251993200,1.000000000000,1.000000000000
BNB,2023-06-04 00:00:00+00:00,0.000000170000,0.000217707800,0.000000170000,0.000217707800,1.000000000000,1.000000000000
BNB,2023-06-04 08:00:00+00:00,0.000031220000,0.000293999300,0.000031220000,0.000293999300,1.000000000000,1.000000000000
