date,carry_0031_return,rf_daily_return,carry_0031_excess_return,stack_0033_brrk_return,stack_0033_carry_scale,stack_0033_scaled_carry_net,stack_0033_scaled_idle_cash_return,stack_0033_combined_return,stack_0033_brrk_plus_idle_cash_return,stack_0033_incremental_sleeve_excess_return
2020-09-15,-0.0017397633272824501,3.0136986301369864e-06,-0.0017427770259125872,,,,,,,
2020-09-16,-0.0002955666093884287,3.287671232876712e-06,-0.0002988542806213054,,,,,,,
2020-09-17,0.0003787397006423374,2.465753424657534e-06,0.0003762739472176799,,,,,,,
2020-09-18,-0.00027758675118645854,2.7397260273972604e-06,-0.0002803264772138558,,,,,,,
2020-09-19,0.00047794723312139556,2.7397260273972604e-06,0.0004752075070939983,,,,,,,
2020-09-20,-0.0004157654664211231,2.7397260273972604e-06,-0.00041850519244852034,,,,,,,
2020-09-21,0.0006265092593335821,2.7397260273972604e-06,0.0006237695333061848,,,,,,,
2020-09-22,-0.0008389362824953474,2.7397260273972604e-06,-0.0008416760085227447,,,,,,,
2020-09-23,0.0011737160546074236,3.0136986301369864e-06,0.0011707023559772865,,,,,,,
2020-09-24,-0.0006083798273027252,2.7397260273972604e-06,-0.0006111195533301224,,,,,,,
2020-09-25,5.029729469805063e-05,2.7397260273972604e-06,4.7557568670653365e-05,,,,,,,
2020-09-26,-0.0001211422365057953,2.7397260273972604e-06,-0.00012388196253319256,,,,,,,
2020-09-27,-0.0004792602881713408,2.7397260273972604e-06,-0.00048200001419873806,,,,,,,
2020-09-28,3.943418823210014e-05,3.0136986301369864e-06,3.642048960196316e-05,,,,,,,
2020-09-29,-0.00014214547546056164,2.465753424657534e-06,-0.00014461122888521918,,,,,,,
2020-09-30,-0.0006047638187672345,2.7397260273972604e-06,-0.0006075035447946317,,,,,,,
2020-10-01,-0.00024156705662736205,2.465753424657534e-06,-0.00024403281005201959,,,,,,,
2020-10-02,4.586095017276558e-05,2.465753424657534e-06,4.339519674810805e-05,,,,,,,
2020-10-03,-0.0005463620938097563,2.465753424657534e-06,-0.0005488278472344138,,,,,,,
2020-10-04,-0.000947136361903183,2.465753424657534e-06,-0.0009496021153278405,,,,,,,
2020-10-05,-1.0241750616435878e-06,2.7397260273972604e-06,-3.7639010890408483e-06,,,,,,,
2020-10-06,-0.00034944884860008493,2.7397260273972604e-06,-0.0003521885746274822,,,,,,,
2020-10-07,-5.18457320222613e-05,2.7397260273972604e-06,-5.458545804965856e-05,,,,,,,
2020-10-08,-0.0001612172749567077,2.465753424657534e-06,-0.00016368302838136524,,,,,,,
2020-10-09,-1.4396698470644453e-05,2.7397260273972604e-06,-1.7136424498041715e-05,,,,,,,
2020-10-10,0.00024059498605384102,2.7397260273972604e-06,0.00023785526002644377,,,,,,,
2020-10-11,0.00013136828471815179,2.7397260273972604e-06,0.00012862855869075454,,,,,,,
2020-10-12,-2.9733984443275936e-05,2.7397260273972604e-06,-3.24737104706732e-05,,,,,,,
2020-10-13,0.0001209968956533017,3.0136986301369864e-06,0.00011798319702316472,,,,,,,
