refit_date,monthly_core_scale,monthly_approved_extra,monthly_total_scale,days,binding_days,binding_fraction,mean_actual_extra,min_actual_extra,mean_reduction,max_reduction
2022-12-09,1.3453862990342458e-07,0.0,1.3453862990342458e-07,30,0,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.999999999893296,0.0,0.999999999893296,30,0,0.0,0.0,0.0,0.0,0.0
2023-02-07,0.999999924474696,0.0,0.999999924474696,30,0,0.0,0.0,0.0,0.0,0.0
2023-03-09,0.9999999999998558,0.09392675904297297,1.0939267590428288,30,2,0.06666666666666667,0.091737224824366,0.054035774506624584,0.0021895342186069966,0.03989098453634839
2023-04-08,1.0,0.19941999369369875,1.1994199936936987,30,1,0.03333333333333333,0.19850013457748536,0.17182422020729757,0.0009198591162133729,0.027595773486401187
2023-05-08,0.9999999999998659,0.26166952129001264,1.2616695212898785,30,26,0.8666666666666667,0.15271381488393063,0.04109790275879732,0.10895570640608199,0.22057161853121532
2023-06-07,0.9999330163645169,0.0,0.9999330163645169,30,0,0.0,0.0,0.0,0.0,0.0
2023-07-07,0.9999999999999518,0.3143600619540751,1.314360061954027,30,29,0.9666666666666667,0.15901373164251623,0.05721817460136742,0.15534633031155887,0.2571418873527077
2023-08-06,0.9999999997314954,0.0,0.9999999997314954,30,0,0.0,0.0,0.0,0.0,0.0
2023-09-05,0.9999999397446507,0.0,0.9999999397446507,30,0,0.0,0.0,0.0,0.0,0.0
2023-10-05,0.9999718626245347,0.0,0.9999718626245347,30,0,0.0,0.0,0.0,0.0,0.0
2023-11-04,1.0,0.3905076608137434,1.3905076608137434,30,24,0.8,0.36574963822794243,0.3044488185624404,0.024758022585800916,0.086058842251303
2023-12-04,0.9999999999971174,0.4070437832472633,1.4070437832443807,30,24,0.8,0.3803848535285129,0.30737005618831315,0.02665892971875038,0.09967372705895017
2024-01-03,1.0,0.3656212808559936,1.3656212808559935,30,21,0.7,0.302065598447836,0.2034174080301361,0.06355568240815763,0.1622038728258575
2024-02-02,1.0,0.29998866731365975,1.2999886673136598,30,4,0.13333333333333333,0.29533062700378315,0.2550463962690079,0.004658040309876521,0.04494227104465187
2024-03-03,1.0,0.35000709094420884,1.3500070909442088,30,1,0.03333333333333333,0.3497152663456558,0.3412523529876225,0.00029182459855287744,0.008754737956586323
2024-04-02,1.0,0.2907748252343305,1.2907748252343305,30,10,0.3333333333333333,0.27340034349946857,0.14187639337483943,0.01737448173486197,0.1488984318594911
2024-05-02,0.9999999987316892,0.0,0.9999999987316892,30,0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.9999999999972419,0.34610544588853853,1.3461054458857804,30,27,0.9,0.1937840025430835,0.011597300883374137,0.15232144334545503,0.3345081450051644
2024-07-01,0.9999999980331029,0.0,0.9999999980331029,30,0,0.0,0.0,0.0,0.0,0.0
2024-07-31,0.9999984868728992,0.0,0.9999984868728992,30,0,0.0,0.0,0.0,0.0,0.0
2024-08-30,0.9999943503101363,0.0,0.9999943503101363,30,0,0.0,0.0,0.0,0.0,0.0
2024-09-29,1.0,0.17314011136841334,1.1731401113684132,30,16,0.5333333333333333,0.12467238687846358,0.0,0.04846772448994974,0.17314011136841334
