date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2022-12-20,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6011686227116901,0.8430490872556424,0.23581673064288045,1.0
2022-12-21,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6020482659439169,0.8430516838635372,0.20984968882644697,1.0
2022-12-22,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6204550214436407,0.8430492377636474,0.20985076408454884,1.0
2022-12-23,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6050668535721873,0.8430504399859857,0.2100399726581715,1.0
2022-12-24,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6111392601201087,0.8430595117279021,0.21003815397043543,1.0
2022-12-25,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6078813220831789,0.8430690845924047,0.2094158134170302,1.0
2022-12-26,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5717337215676769,0.8430563346639661,0.2089836719356486,1.0
2022-12-27,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6225949436923621,0.843049998845494,0.21351252181047486,1.0
2022-12-28,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.68473547476494,0.8430489754974098,0.21112172967533296,1.0
2022-12-29,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6621328642274154,0.8430488749458748,0.21112172967533296,1.0
2022-12-30,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6708190436106745,0.8430487193832281,0.21119217660998293,1.0
2022-12-31,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6656315121288808,0.8430484999734864,0.20818506869781647,1.0
2023-01-01,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6499761702066539,0.8430484909287943,0.20818506869781647,1.0
2023-01-02,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.698604229842408,0.8430471457053366,0.20377755036648348,1.0
2023-01-03,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.7135626940755221,0.843040021284062,0.20377755036648348,1.0
2023-01-04,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5975869038344529,0.8430404448680069,0.20177025256725722,1.0
2023-01-05,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5081589814165647,0.8430409062967641,0.20180667064699606,1.0
2023-01-06,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.4834674182352304,0.8430395599932691,0.1950225708555616,1.0
2023-01-07,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.4850060310926606,0.843039298351718,0.19502801495321195,1.0
2023-01-08,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,-0.20460440391120718,0.7021660875044752,0.19406055030492275,1.0
2023-01-09,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,-0.4059675887462275,0.7021660875057184,0.19406042796802267,1.0
2023-01-10,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,-0.2816455249035107,0.702166087497354,0.1938673817728725,1.0
2023-01-11,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,-0.08719093618224269,0.7021660887105723,0.1938673817728725,1.0
2023-01-12,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.05169633612225369,0.7021661433712252,0.1938673817728725,1.0
2023-01-13,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.18885321895887902,0.7072240211988934,0.1938673817728725,1.0
2023-01-14,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.2427614141646908,0.7845832719429688,0.17240726194222178,1.0
2023-01-15,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.2386405089881449,0.6660554663499105,0.0884045389455253,1.0
2023-01-16,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.29528839780653304,0.01598604490126974,0.0884045389455253,1.0
2023-01-17,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.2745845526467706,0.014204572831013744,0.08844210689692227,1.0
2023-01-18,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.2845782634168234,0.026927540296002753,0.09840323547745855,1.0
2023-01-19,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3343328188646101,0.015123638651646164,0.09840323547745855,1.0
2023-01-20,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.39471214247451875,0.012983484367793542,0.09730419302941729,1.0
2023-01-21,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.40952092164209086,0.0130170569289518,0.09730187405591813,1.0
2023-01-22,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.42690422624994073,0.013332503605378012,0.0975851536445721,1.0
2023-01-23,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.4361277404072966,0.02474361709989452,0.0975851536445721,1.0
2023-01-24,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3971549271602599,0.7838036991888733,0.10680959054019121,1.0
2023-01-25,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.39336085016939737,0.7845904934102427,0.10680959054019121,1.0
