symbol,pass,common_first_month,common_last_month,common_month_count,daily_alignment_ratio,shared_days,funding_event_count,funding_positive_event_share,basis_median,basis_p01,basis_p99
BTCUSDT,True,2020-01,2026-07,79,1.0,2404,7212,0.8570438158624515,-0.00038228668304285396,-0.0008468307918649587,0.0014623828161166692
ETHUSDT,True,2020-01,2026-07,79,1.0,2404,7212,0.860648918469218,-0.0003702504096110282,-0.000831368420840819,0.0018415092702387605
SOLUSDT,True,2020-09,2026-07,71,0.9916666666666667,2142,6516,0.7136279926335175,-0.0004181210720906603,-0.0029804061640681147,0.0029417758675399923
BNBUSDT,True,2020-02,2026-07,78,0.9962073324905183,2364,7091,0.2551121139472571,-4.903336428091487e-05,-0.00219563512914297,0.0018697002983599558
XRPUSDT,True,2020-01,2026-07,79,0.9958402662229617,2394,7196,0.797248471372985,-0.00039512678526087974,-0.0014630919111502173,0.0022762908433470743
