count,mean,median,p05,p25,p75,p95,p99,max,hypothetical_nav
2142,0.0003109861,0.0001889645,0.0000128827,0.0000513047,0.0004967038,0.0009560761,0.0012521238,0.0013950947,100000.0000000000
2142,0.0031098611,0.0018896454,0.0001288272,0.0005130469,0.0049670376,0.0095607609,0.0125212382,0.0139509469,1000000.0000000000
