side,target_notional,filled_notional,unfilled_notional,fill_fraction,base_filled,vwap,reference_mid,slippage_bps,levels_used,fully_fillable_in_returned_book,target,market_type,api_coin,classification
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.015559358954,64270.000000000000,64269.500000000000,0.077797400011,1,True,BTC,perp,BTC,
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,0.155593589544,64270.000000000000,64269.500000000000,0.077797400011,1,True,BTC,perp,BTC,
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,0.777967947721,64270.000000000000,64269.500000000000,0.077797400011,1,True,BTC,perp,BTC,
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,1.555935895441,64270.000000000000,64269.500000000000,0.077797400011,1,True,BTC,perp,BTC,
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.015559777802,64268.269941014034,64269.500000000000,0.191390781936,2,True,BTC,perp,BTC,
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,0.155600545225,64267.126991842939,64269.500000000000,0.369227729649,2,True,BTC,perp,BTC,
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,0.778003955996,64267.025398328435,64269.500000000000,0.385035152221,2,True,BTC,perp,BTC,
sell,100000.000000000000,100000.000000000015,0.000000000000,1.000000000000,1.556031409343,64266.054913532469,64269.500000000000,0.536037539973,5,True,BTC,perp,BTC,
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.015564202335,64250.000000000000,64249.500000000000,0.077821617288,1,True,BTC,spot,@142,verified_official_ui_remap
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,0.155642023346,64250.000000000000,64249.500000000000,0.077821617288,1,True,BTC,spot,@142,verified_official_ui_remap
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,0.778168305190,64253.452198589977,64249.500000000000,0.615132972237,2,True,BTC,spot,@142,verified_official_ui_remap
buy,100000.000000000000,100000.000000000015,0.000000000000,1.000000000000,1.556281508116,64255.727179515117,64249.500000000000,0.969218362028,6,True,BTC,spot,@142,verified_official_ui_remap
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.015564444583,64249.000000000000,64249.500000000000,0.077821617289,1,True,BTC,spot,@142,verified_official_ui_remap
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,0.155644445828,64249.000000000007,64249.500000000000,0.077821617288,1,True,BTC,spot,@142,verified_official_ui_remap
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,0.778222229140,64249.000000000000,64249.500000000000,0.077821617289,1,True,BTC,spot,@142,verified_official_ui_remap
sell,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,1.556479855088,64247.538876325423,64249.500000000000,0.305235632118,3,True,BTC,spot,@142,verified_official_ui_remap
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.532907007727,1876.500000000000,1876.450000000000,0.266460603799,1,True,ETH,perp,ETH,
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,5.329070077272,1876.500000000000,1876.450000000000,0.266460603799,1,True,ETH,perp,ETH,
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,26.645350386358,1876.500000000000,1876.450000000000,0.266460603799,1,True,ETH,perp,ETH,
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,53.290700772715,1876.500000000000,1876.450000000000,0.266460603799,1,True,ETH,perp,ETH,
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.532935408229,1876.400000000000,1876.450000000000,0.266460603799,1,True,ETH,perp,ETH,
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,5.329628925488,1876.303236080352,1876.450000000000,0.782136052906,3,True,ETH,perp,ETH,
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,26.649317658032,1876.220646307236,1876.450000000000,1.222274469151,3,True,ETH,perp,ETH,
sell,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,53.299621795213,1876.185920872339,1876.450000000000,1.407333676147,4,True,ETH,perp,ETH,
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.533020627898,1876.100000000000,1876.050000000000,0.266517416911,1,True,ETH,spot,@151,candidate_wrapped_or_bridged
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,5.330206278983,1876.100000000000,1876.050000000000,0.266517416914,1,True,ETH,spot,@151,candidate_wrapped_or_bridged
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,26.647733882228,1876.332157210074,1876.050000000000,1.503996215848,5,True,ETH,spot,@151,candidate_wrapped_or_bridged
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,53.291420717216,1876.474649280534,1876.050000000000,2.263528586839,7,True,ETH,spot,@151,candidate_wrapped_or_bridged
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,0.533049040512,1876.000000000000,1876.050000000000,0.266517416913,1,True,ETH,spot,@151,candidate_wrapped_or_bridged
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,5.330519649235,1875.989707951844,1876.050000000000,0.321377618697,2,True,ETH,spot,@151,candidate_wrapped_or_bridged
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,26.655102255158,1875.813475460385,1876.050000000000,1.260758186697,4,True,ETH,spot,@151,candidate_wrapped_or_bridged
sell,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,53.313225847729,1875.707170404888,1876.050000000000,1.827401162612,5,True,ETH,spot,@151,candidate_wrapped_or_bridged
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,13.489633216873,74.131000000000,74.130500000000,0.067448621013,1,True,SOL,perp,SOL,
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,134.896332168728,74.131000000000,74.130500000000,0.067448621013,1,True,SOL,perp,SOL,
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,674.476408886731,74.131577237117,74.130500000000,0.145316316096,3,True,SOL,perp,SOL,
