symbol,current_status,eligible_days,first_eligible_date,last_eligible_date
FIROUSDT,BREAK,12,2021-10-21,2025-01-07
MDXUSDT,BREAK,12,2022-10-10,2024-07-14
MFTUSDT,BREAK,12,2021-05-02,2022-08-10
MULTIUSDT,BREAK,12,2023-05-28,2024-02-10
VOXELUSDT,BREAK,12,2023-01-30,2025-09-13
WTCUSDT,BREAK,12,2021-05-07,2023-12-01
DNTUSDT,BREAK,11,2021-07-16,2022-05-02
NBSUSDT,BREAK,11,2021-06-06,2022-07-08
BALUSDT,BREAK,10,2021-04-14,2023-02-15
MLNUSDT,BREAK,10,2022-05-15,2025-10-21
TORNUSDT,BREAK,10,2022-02-16,2022-08-24
BTSUSDT,BREAK,9,2021-04-07,2023-07-05
SYSUSDT,BREAK,9,2023-11-27,2024-08-21
GFTUSDT,BREAK,8,2024-06-13,2024-11-30
OOKIUSDT,BREAK,8,2023-07-04,2024-03-31
XEMUSDT,BREAK,8,2021-09-05,2023-02-27
ELFUSDT,BREAK,7,2022-07-12,2024-11-26
SNTUSDT,BREAK,7,2024-11-10,2024-12-09
WANUSDT,BREAK,7,2021-04-11,2022-11-29
AERGOUSDT,BREAK,6,2024-03-26,2025-01-01
ALCXUSDT,BREAK,6,2023-12-02,2025-11-13
GHSTUSDT,BREAK,6,2024-03-30,2024-11-03
KP3RUSDT,BREAK,6,2023-02-19,2024-03-30
LOOMUSDT,BREAK,6,2023-12-07,2024-07-21
MOBUSDT,BREAK,6,2023-01-31,2024-04-01
OMNIUSDT,BREAK,6,2025-07-11,2025-09-10
WNXMUSDT,BREAK,6,2021-10-10,2022-08-21
AMBUSDT,BREAK,5,2024-01-15,2024-12-06
CVPUSDT,BREAK,5,2022-10-16,2024-07-26
OAXUSDT,BREAK,5,2024-01-23,2024-11-29
POLSUSDT,BREAK,5,2022-03-15,2023-12-15
RAMPUSDT,BREAK,5,2021-11-24,2022-04-08
CHESSUSDT,BREAK,4,2023-02-09,2024-12-03
CREAMUSDT,BREAK,4,2024-05-19,2024-11-08
EPXUSDT,BREAK,4,2023-06-04,2024-03-01
SLFUSDT,BREAK,4,2025-07-25,2025-09-13
AUTOUSDT,BREAK,3,2022-05-30,2023-04-15
DUSDT,BREAK,3,2026-04-04,2026-05-07
LOKAUSDT,BREAK,3,2022-11-20,2023-01-30
BIFIUSDT,BREAK,2,2025-12-25,2026-01-09
FORUSDT,BREAK,2,2023-12-25,2024-03-28
NFPUSDT,BREAK,2,2026-07-01,2026-07-02
POLYUSDT,BREAK,2,2022-09-08,2022-09-09
REPUSDT,BREAK,2,2021-07-24,2021-07-25
TVKUSDT,BREAK,2,2022-07-07,2023-01-29
ASTUSDT,BREAK,1,2024-03-08,2024-03-08
COMBOUSDT,BREAK,1,2024-06-06,2024-06-06
MCUSDT,BREAK,1,2023-08-13,2023-08-13
NUUSDT,BREAK,1,2022-02-09,2022-02-09
PLAUSDT,BREAK,1,2023-07-11,2023-07-11
UFTUSDT,BREAK,1,2023-12-28,2023-12-28
