date,V1_BASELINE__BTC,V1_BASELINE__ETH,V1_BASELINE__SOL,V1_BASELINE__BNB,V1_BASELINE__XRP,V1_PLUS_FIXED_PANEL_DISP0014__BTC,V1_PLUS_FIXED_PANEL_DISP0014__ETH,V1_PLUS_FIXED_PANEL_DISP0014__SOL,V1_PLUS_FIXED_PANEL_DISP0014__BNB,V1_PLUS_FIXED_PANEL_DISP0014__XRP,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP,BRRK0011_BASELINE__BTC,BRRK0011_BASELINE__ETH,BRRK0011_BASELINE__SOL,BRRK0011_BASELINE__BNB,BRRK0011_BASELINE__XRP,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BTC,BRRK0011_PLUS_FIXED_PANEL_DISP0014__ETH,BRRK0011_PLUS_FIXED_PANEL_DISP0014__SOL,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BNB,BRRK0011_PLUS_FIXED_PANEL_DISP0014__XRP,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP
2022-12-10,0.2561620844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2438217822,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2367903853,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-11,0.3103068285,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2983479001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2915338066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-12,0.3103068285,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2983479001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2915338066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-13,0.3103068285,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2983479001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2915338066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-14,0.3622862489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3551376201,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3510643936,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-15,0.3622862489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3551376201,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3510643936,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-16,0.3622862489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3551376201,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3510643936,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-17,0.2194092858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2163437338,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2159296180,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-18,0.2194092858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2163437338,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2159296180,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2022-12-19,0.2776238615,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2751413547,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2748060007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
