date,btc_trend,p_riskoff,p_bad,core_meta_scale,core_scale,full_scale_cvar95,full_scale_cdar95,core_full_permission,trend_candidate_extra,pbad_adjusted_extra,downside_semivol30,downside_scaler,extra_scale,total_scale,hmm_converged,pca_variance
2022-12-09,-0.562116095058999,0.9999998654613701,0.843049038475409,0.0,1.3453862990342458e-07,0.16663013736099386,0.2003390200789043,False,0.0,0.0,0.23757468176598726,1.0,0.0,1.3453862990342458e-07,True,0.9257189209823047
2023-01-08,-0.20460440391120718,1.0670394496372932e-10,0.702166087504477,0.0,0.999999999893296,0.18821767111045967,0.2212298261622176,False,0.0,0.0,0.19406055030492275,1.0,0.0,0.999999999893296,True,0.9287966982193004
2023-02-07,0.4549193997523553,1.5083946292725348e-07,0.4644032683177693,0.49930010018354215,0.999999924474696,0.2843284036628503,0.3253606557895633,False,0.22745969987617765,0.12182667184310186,0.18135365219843005,1.0,0.0,0.999999924474696,True,0.9260138167987594
2023-03-09,0.27655414900949415,7.681871231630741e-13,0.32073512996004117,0.8122037537395954,0.9999999999998558,0.1995230355573859,0.24191266571575423,True,0.13827707450474708,0.09392675904297274,0.3992965315400979,1.0,0.09392675904297274,1.0939267590428285,True,0.9182060143422652
2023-04-08,0.5379077638494829,5.17747973861715e-18,0.258534614683493,0.745612408965826,1.0,0.21866434160716752,0.26105088201880106,True,0.26895388192474146,0.19941999369369875,0.22093680071191935,1.0,0.19941999369369875,1.1994199936936987,True,0.9195574212979188
2023-05-08,0.5452178766331364,6.329655479431437e-13,0.04012860727938474,0.7881048880517483,0.9999999999998659,0.20070229885176502,0.24864039527321052,True,0.2726089383165682,0.2616695212900126,0.32633070146964266,1.0,0.2616695212900126,1.2616695212898785,True,0.9221704036934469
2023-06-07,0.20586003683840381,8.460948338089713e-05,0.585761645799171,0.20832000378097607,0.9999330163645169,0.2724440071914536,0.3081193186635155,False,0.10293001841920191,0.04263756142783121,0.2900118775093503,1.0,0.0,0.9999330163645169,True,0.9220112597953438
2023-07-07,0.8146948036376912,2.647136600676997e-13,0.228275274248884,0.8179135695099831,0.9999999999999518,0.20455030665269175,0.24016707909314838,True,0.4073474018188456,0.31436006195407823,0.18355116586516007,1.0,0.31436006195407823,1.31436006195403,True,0.917899009108428
2023-08-06,0.3844502392034207,2.685045896770504e-10,0.7785593548889559,0.0,0.9999999997314954,0.26829334541822814,0.2993266570982223,False,0.19222511960171035,0.04256645449115035,0.18673269741936085,1.0,0.0,0.9999999997314954,True,0.9158847473228713
2023-09-05,-0.1755837386546508,3.3758172797438345e-07,0.35571464789788054,0.8215088546276093,0.9999999397446507,0.2080016900042359,0.2393791073859449,False,0.0,0.0,0.3435210527798742,1.0,0.0,0.9999999397446507,True,0.9147727899816799
2023-10-05,0.16079092526023542,3.3541254462235235e-05,0.5830130369898242,0.16111141588649502,0.9999718626245347,0.2482134579973884,0.28517799927697157,False,0.08039546263011771,0.033523859801930865,0.15688693947376461,1.0,0.0,0.9999718626245347,True,0.9170041578506041
2023-11-04,0.8499888390159486,7.557745628094294e-30,0.08114638007284487,0.9182297326624393,1.0,0.17904694649137703,0.2163674449788003,True,0.4249944195079743,0.3905076608137421,0.10929405369511545,1.0,0.3905076608137421,1.390507660813742,True,0.9119405046277338
2023-12-04,0.9127542956366426,1.6857931598891215e-11,0.10809779763709582,0.8290090188384056,0.9999999999971174,0.19145222239098766,0.2374698686160122,True,0.4563771478183213,0.4070437832472614,0.25491170729548684,1.0,0.4070437832472614,1.407043783244379,True,0.9134668139929683
2024-01-03,0.7479500659757647,9.309248705780879e-17,0.022337726840068062,0.825161300599575,1.0,0.18342504918129227,0.238762714875133,True,0.37397503298788237,0.3656212808559936,0.3271553076666726,1.0,0.3656212808559936,1.3656212808559935,True,0.9159478315098067
2024-02-02,0.601473720074037,3.355494510209817e-33,0.0024878650500860812,0.691384568810463,1.0,0.21094362919409984,0.2800880015661435,True,0.3007368600370185,0.29998866731365975,0.37150951722170195,1.0,0.29998866731365975,1.2999886673136598,True,0.9177460384452156
2024-03-03,0.9675498726038125,2.069101626891596e-39,0.2765084243103859,0.5340089350938797,1.0,0.29507390308538006,0.35012506325025516,True,0.48377493630190627,0.35000709094420884,0.11315639734631551,1.0,0.35000709094420884,1.3500070909442088,True,0.9161629639132246
2024-04-02,0.7026862628378514,9.77598741061678e-22,0.0003527622884884028,0.7503719106316566,1.0,0.1986849980943959,0.2601054251110333,True,0.3513431314189257,0.3512191908118417,0.5435430516997475,0.8279013016407383,0.29077482523433057,1.2907748252343305,True,0.9161132296751124
2024-05-02,0.3325935587587632,4.121325538184582e-09,0.0009486584134349968,0.6922565847635269,0.9999999987316892,0.2214047782524974,0.2795445661787749,False,0.1662967793793816,0.1661390205404962,0.4097364468820454,1.0,0.0,0.9999999987316892,True,0.9100467483741238
