date,btc_trend,p_riskoff,p_bad,core_meta_scale,core_scale,full_scale_cvar95,full_scale_cdar95,safe_total_scale,safe_total_cvar95,safe_total_cdar95,core_full_permission,trend_candidate_extra,pbad_adjusted_extra,risk_extra_capacity,extra_scale,total_scale,hmm_converged,pca_variance
2022-12-09,-0.562116095058999,0.9999998654613701,0.843049038475409,0.0,1.3453862990342458e-07,0.16663013736099386,0.2003390200789043,0.9981586042558774,0.16634088144204243,0.1999999999950673,False,0.0,0.0,0.0,0.0,1.3453862990342458e-07,True,0.9257189209823047
2023-01-08,-0.20460440391120718,1.0670394496372932e-10,0.702166087504477,0.0,0.999999999893296,0.18821767111045967,0.2212298261622176,0.8956497012404725,0.1697244368955461,0.1999999999563008,False,0.0,0.0,0.0,0.0,0.999999999893296,True,0.9287966982193004
2023-02-07,0.4549193997523553,1.5083946292725348e-07,0.4644032683177693,0.49930010018354215,0.999999924474696,0.2843284036628503,0.3253606557895633,0.5798268736107275,0.17231086799186607,0.19999999999477505,False,0.22745969987617765,0.12182667184310186,0.0,0.0,0.999999924474696,True,0.9260138167987594
2023-03-09,0.27655414900949415,7.681871231623809e-13,0.32073512996003944,0.8122037537395954,0.9999999999998558,0.1995230355573861,0.24191266571575448,0.8122037564171478,0.16404587520471614,0.19999999999054954,True,0.13827707450474708,0.09392675904297297,0.0,0.0,0.9999999999998558,True,0.9182060143422652
2023-04-08,0.5379077638494829,5.17747973861715e-18,0.258534614683493,0.745612408965826,1.0,0.21866434160716752,0.26105088201880106,0.7456124110613018,0.16608362572159582,0.19999999995551884,True,0.26895388192474146,0.19941999369369875,0.0,0.0,1.0,True,0.9195574212979188
2023-05-08,0.5452178766331364,6.329655479431437e-13,0.04012860727938474,0.7881048880517483,0.9999999999998659,0.20070229885176502,0.24864039527321052,0.7881048886338249,0.16014585367480738,0.1999999999911536,True,0.2726089383165682,0.2616695212900126,0.0,0.0,0.9999999999998659,True,0.9221704036934469
2023-06-07,0.20586003683840381,8.460948338089713e-05,0.585761645799171,0.20832000378097607,0.9999330163645169,0.2724440071914536,0.3081193186635155,0.6167999936733395,0.174927474083845,0.1999999999573789,False,0.10293001841920191,0.04263756142783121,0.0,0.0,0.9999330163645169,True,0.9220112597953438
2023-07-07,0.8146948036376912,2.6471366006779656e-13,0.2282752742488917,0.8179135695099831,0.9999999999999518,0.20455030665269208,0.24016707909314855,0.8179135713726282,0.1694790443351303,0.19999999994330903,True,0.4073474018188456,0.3143600619540751,0.0,0.0,0.9999999999999518,True,0.917899009108428
2023-08-06,0.3844502392034207,2.685045896770504e-10,0.7785593548889559,0.0,0.9999999997314954,0.26829334541822814,0.2993266570982223,0.6370030625257641,0.17767534764818768,0.19999999992577586,False,0.19222511960171035,0.04256645449115035,0.0,0.0,0.9999999997314954,True,0.9158847473228713
2023-09-05,-0.1755837386546508,3.375817279743079e-07,0.35571464789788076,0.8215088546276093,0.9999999397446507,0.208001690004239,0.239379107385949,0.821508856723085,0.17306485232141808,0.199999999949729,False,0.0,0.0,0.0,0.0,0.9999999397446507,True,0.9147727899816799
2023-10-05,0.16079092526023542,3.3541254462248516e-05,0.5830130369898191,0.1611114158864237,0.9999718626245347,0.24821345799738828,0.2851779992769716,0.6740814369404688,0.1723399562944382,0.19999999991765197,False,0.08039546263011771,0.033523859801931274,0.0,0.0,0.9999718626245347,True,0.9170041578506041
2023-11-04,0.8499888390159486,7.557745628073566e-30,0.08114638007284543,0.9182297326624393,1.0,0.17904694649137706,0.21636744497880037,0.9182297346414998,0.16508323920092277,0.19999999997946213,True,0.4249944195079743,0.3905076608137419,0.0,0.0,1.0,True,0.9119405046277338
2023-12-04,0.9127542956366426,1.6857931598891215e-11,0.10809779763709582,0.8290090188384056,0.9999999999971174,0.19145222239098766,0.2374698686160122,0.8290090220980346,0.16022064659197513,0.19999999999616033,True,0.4563771478183213,0.4070437832472614,0.0,0.0,0.9999999999971174,True,0.9134668139929683
2024-01-03,0.7479500659757647,9.309248705781077e-17,0.022337726840068062,0.825161300599575,1.0,0.18342504918129232,0.23876271487513304,0.8251613028114662,0.1524818346801763,0.19999999992571468,True,0.37397503298788237,0.3656212808559936,0.0,0.0,1.0,True,0.9159478315098067
