symbol,spell_number,start,end,duration_days,mean_weight,max_weight,arithmetic_gross_contribution,asset_compound_return_during_spell,positive_contribution
MASKUSDT,1,2025-06-02,2025-06-04,3,0.2239166524,0.2676492476,0.0141590032,0.0784170026,True
MKRUSDT,1,2023-07-07,2023-07-07,1,0.1857645652,0.1857645652,-0.0044183919,-0.0237849018,False
MKRUSDT,2,2023-07-22,2023-07-22,1,0.2811102771,0.2811102771,0.0041150635,0.0146386093,True
MKRUSDT,3,2023-07-28,2023-07-28,1,0.2996098811,0.2996098811,0.0041148138,0.0137339056,True
MKRUSDT,4,2023-07-30,2023-07-30,1,0.2991760168,0.2991760168,-0.0074619116,-0.0249415433,False
MKRUSDT,5,2024-01-10,2024-01-13,4,0.3002834662,0.3002834662,0.0365778033,0.1207363292,True
MKRUSDT,6,2024-07-15,2024-07-18,4,0.0929734370,0.1308981715,-0.0013284545,0.0118577075,False
MTLUSDT,1,2023-06-23,2023-06-24,2,0.2388265669,0.2715852961,-0.0142527522,-0.0504840941,False
OMUSDT,1,2025-02-03,2025-03-01,27,0.2630441064,0.3500000000,0.1489783294,0.5361940600,True
OPUSDT,1,2023-03-11,2023-03-26,16,0.2745506221,0.3308590197,0.0473223221,0.0599531616,True
PAXGUSDT,1,2025-04-22,2025-04-24,3,0.3500000000,0.3500000000,-0.0097387299,-0.0280184864,False
PAXGUSDT,2,2025-10-20,2025-10-21,2,0.3500000000,0.3500000000,-0.0112811645,-0.0339779279,False
PAXGUSDT,3,2025-10-24,2025-10-25,2,0.3500000000,0.3500000000,-0.0006061062,-0.0017316501,False
PEPEUSDT,1,2024-06-24,2024-07-03,10,0.2553792779,0.2729671111,-0.0037775875,-0.0613553114,False
PEPEUSDT,2,2025-05-19,2025-05-30,12,0.2082289578,0.2538962886,-0.0359428909,-0.1617328520,False
PUNDIXUSDT,1,2025-05-03,2025-05-04,2,0.1967417897,0.1967417897,-0.0133011975,-0.0674214262,False
RADUSDT,1,2023-05-07,2023-05-09,3,0.1241238870,0.1668947219,-0.0314529248,-0.2100499376,False
RAYUSDT,1,2024-07-21,2024-07-21,1,0.2778432384,0.2778432384,0.0294999998,0.1061749783,True
RNDRUSDT,1,2023-05-03,2023-05-06,4,0.2565665441,0.2696685452,0.0015371661,0.0062923524,True
RNDRUSDT,2,2023-05-08,2023-05-13,6,0.2852623180,0.3500000000,-0.0516170450,-0.1363422661,False
RNDRUSDT,3,2023-05-17,2023-06-03,18,0.2142162173,0.3326155897,0.0677225579,0.3537662338,True
RNDRUSDT,4,2023-06-14,2023-06-14,1,0.1179840195,0.1179840195,-0.0074619235,-0.0632452048,False
RNDRUSDT,5,2024-02-29,2024-06-01,94,0.2206854930,0.3129679960,0.1124915775,0.2558110472,True
RUNEUSDT,1,2023-08-30,2023-08-30,1,0.2562909230,0.2562909230,-0.0123781375,-0.0482972136,False
RUNEUSDT,2,2023-10-05,2023-10-08,4,0.2068930275,0.2752526226,-0.0408849668,-0.1541463415,False
RVNUSDT,1,2025-06-13,2025-06-13,1,0.1472531672,0.1472531672,-0.0179960887,-0.1222118959,False
SCUSDT,1,2024-01-08,2024-01-09,2,0.2939725992,0.2939725992,-0.0240714915,-0.0882065748,False
SHIBUSDT,1,2023-08-12,2023-08-15,4,0.1714689535,0.2260884505,-0.0083979443,-0.0560836502,False
SOLUSDT,1,2021-10-07,2021-12-04,59,0.2669363723,0.3500000000,0.1084611120,0.3041528563,True
SOLUSDT,2,2023-07-19,2023-08-03,16,0.1864111477,0.3236080953,-0.0186635500,-0.1131558340,False
SOLUSDT,3,2023-08-07,2023-08-18,12,0.2587748557,0.3500000000,-0.0069322268,-0.0801724138,False
SOLUSDT,4,2023-10-08,2024-06-23,260,0.2525056343,0.3500000000,0.5345085567,4.5231759657,True
SOLUSDT,5,2024-07-22,2024-08-02,12,0.2553805203,0.2953099458,-0.0413245817,-0.1719334381,False
STRAXUSDT,1,2023-10-11,2023-10-11,1,0.2541032218,0.2541032218,-0.0106152782,-0.0417754569,False
STXUSDT,1,2023-03-27,2023-03-31,5,0.2751350943,0.3496360999,-0.0266788968,-0.0747589224,False
STXUSDT,2,2023-06-21,2023-06-24,4,0.2818363005,0.3500000000,0.0065006491,-0.0178881324,True
STXUSDT,3,2024-02-09,2024-02-25,17,0.2439595728,0.3045686105,0.0946227011,0.4511956096,True
SUIUSDT,1,2024-09-22,2024-10-09,18,0.1856158317,0.3310950828,0.0660683434,0.2658612311,True
SUIUSDT,2,2024-10-18,2025-02-06,112,0.2490430907,0.3221878385,0.1127355218,0.5486196849,True
SUIUSDT,3,2025-04-25,2025-05-25,31,0.2425213774,0.3500000000,0.0327099183,0.0768011484,True
SUIUSDT,4,2025-06-08,2025-06-08,1,0.0591593706,0.0591593706,-0.0003557553,-0.0060135073,False
SUNUSDT,1,2024-08-26,2024-09-01,7,0.1188324288,0.1188324288,-0.0061670864,-0.0856117095,False
