seed,end_multiple,final_10k,cagr,max_drawdown,ann_vol,sharpe,calmar,turnover,avg_gross_exposure
2026080400,0.6162024696,6162.0246961427,-0.0879930057,-0.8894094277,0.5999033143,0.1467082805,-0.0989341950,178.0657627560,0.7031521112
2026080401,0.5024690821,5024.6908214187,-0.1227149614,-0.7613490480,0.5655501155,0.0525650838,-0.1611809482,186.6324778678,0.7031521112
2026080402,0.2387112262,2387.1122622782,-0.2385348544,-0.8604206480,0.5657361316,-0.1983085714,-0.2772305092,182.9911204220,0.7031521112
2026080403,0.6791898224,6791.8982238352,-0.0709503049,-0.8322996650,0.5745429032,0.1595008564,-0.0852461054,165.8133661883,0.7031521112
2026080404,0.4228054452,4228.0544522714,-0.1510559177,-0.8078220725,0.5733600139,0.0021565606,-0.1869915701,169.4448516483,0.7031521112
2026080405,0.4949064243,4949.0642429850,-0.1252422654,-0.7914705818,0.5816775472,0.0585002549,-0.1582399501,198.5107756296,0.7031521112
2026080406,1.5827614483,15827.6144828770,0.0912786937,-0.7528949611,0.5672597805,0.4365795631,0.1212369566,165.1106911021,0.7031521112
2026080407,0.8148964682,8148.9646817263,-0.0381914634,-0.7709432683,0.5530393819,0.2066165362,-0.0495386171,182.0192811030,0.7031521112
2026080408,0.5030904951,5030.9049507966,-0.1225086690,-0.8737573885,0.5383352393,0.0284176925,-0.1402090221,176.2271570254,0.7031521112
2026080409,1.4508346577,14508.3465774845,0.0733596973,-0.7110498012,0.5593749338,0.4061050230,0.1031709694,168.4812268277,0.7031521112
2026080410,0.6102518372,6102.5183715022,-0.0896750272,-0.8436448970,0.5648653470,0.1192474207,-0.1062947544,166.0843753003,0.7031521112
2026080411,0.3327939472,3327.9394721535,-0.1888496882,-0.8278625124,0.5197063243,-0.1397550689,-0.2281172120,195.3957479291,0.7031521112
2026080412,1.5467674152,15467.6741518413,0.0865135561,-0.7051893512,0.5623509282,0.4255600665,0.1226813138,190.2361848679,0.7031521112
2026080413,0.5309363914,5309.3639143494,-0.1134696039,-0.8097021516,0.5719360192,0.0763645328,-0.1401374613,175.2008237182,0.7031521112
2026080414,0.3703284638,3703.2846384645,-0.1721904441,-0.8548562412,0.5267485513,-0.0928158104,-0.2014261999,175.4243090586,0.7031521112
2026080415,0.2682507434,2682.5074335295,-0.2214458182,-0.7896802721,0.5714574674,-0.1509590801,-0.2804246554,189.7127778611,0.7031521112
2026080416,1.0103697256,10103.6972562690,0.0019644474,-0.8037361360,0.5798903193,0.2934102468,0.0024441446,195.4339175639,0.7031521112
2026080417,0.3396131217,3396.1312174423,-0.1857137109,-0.7807545801,0.5573067487,-0.0879881800,-0.2378643887,177.0642165084,0.7031521112
2026080418,0.8598164739,8598.1647386229,-0.0283234515,-0.6773291331,0.5622035437,0.2302876946,-0.0418163787,169.9899754726,0.7031521112
2026080419,0.3270624421,3270.6244208002,-0.1915259776,-0.8667964406,0.5480785347,-0.1117317363,-0.2209584265,181.2612335310,0.7031521112
2026080420,1.0047587748,10047.5877475749,0.0009035433,-0.8099861722,0.5861693880,0.2936765905,0.0011155046,166.6934921639,0.7031521112
2026080421,0.6227060628,6227.0606280640,-0.0861696599,-0.8257475028,0.5429081957,0.1080809231,-0.1043535216,157.7133167264,0.7031521112
2026080422,0.5229344862,5229.3448620456,-0.1160270107,-0.7625218920,0.5800728288,0.0774749909,-0.1521622026,183.0797532787,0.7031521112
2026080423,1.2161761415,12161.7614152030,0.0379328375,-0.7212065985,0.5546276955,0.3432716480,0.0525963539,169.2498697271,0.7031521112
2026080424,0.8380702862,8380.7028621455,-0.0330471383,-0.8045824345,0.5559916855,0.2159964084,-0.0410736513,160.8761791477,0.7031521112
2026080425,0.2166633127,2166.6331270391,-0.2524443182,-0.8305265525,0.5574431973,-0.2404202866,-0.3039569504,191.7088685946,0.7031521112
2026080426,0.1348021558,1348.0215579263,-0.3169721347,-0.8752443455,0.5580181124,-0.4029591752,-0.3621527363,211.8605163033,0.7031521112
2026080427,0.3397715496,3397.7154958662,-0.1856414620,-0.8269320730,0.5588219137,-0.0838086006,-0.2244942095,157.4090532822,0.7031521112
