date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2021-07-30,6219.7271368627,6202.4931779329,5997.3050942137,5864.9503351190
2021-07-31,6123.6779242030,6200.9796830561,5891.5098425765,6169.4146619621
2021-08-01,5816.7210099585,5984.6037879522,5661.8292521529,5975.7748865191
2021-08-02,6001.3681968022,6014.7977342360,5562.7010878539,5955.5561422488
2021-08-03,5978.3350076902,5829.6339779720,5429.0225764471,5846.5114174885
2021-08-04,6258.6079105211,6033.5399475256,5644.4567436709,6223.1027918155
2021-08-05,6289.1284949201,6203.9884520064,5806.3424909582,6454.4536886110
2021-08-06,6461.1555118297,6410.9394254935,6086.8958565063,6699.1144527686
2021-08-07,6539.4106035989,6906.6899401923,6333.5255129509,7078.9674511812
2021-08-08,6395.9247428515,6667.2545310597,6222.9516136754,6802.4544978864
2021-08-09,6709.0588471987,6997.0586196983,6572.3669541992,7113.0325453483
2021-08-10,7399.1152074574,6936.8122652368,6477.3893785863,7152.7219204102
2021-08-11,7474.6205648271,6992.9916378086,6466.8757854030,7212.4140347607
2021-08-12,7281.3004005449,6797.4257689201,6308.8663838656,7014.2361976657
2021-08-13,7759.5724442401,7489.4853317562,6792.1307495389,7625.6097281912
2021-08-14,7595.1838133268,7439.0877827269,6688.1898348531,7499.5172893559
2021-08-15,7767.9019907097,7440.2945602631,6674.7348796089,7970.9072226941
2021-08-16,7588.7307109740,7108.6622727402,6522.3339592574,8076.2535766759
2021-08-17,7604.6499163352,6812.4197246135,6351.0614304363,7952.6340265466
2021-08-18,7584.8153435172,6969.7073846099,6352.3885957334,8279.4031190875
2021-08-19,7913.8410329906,7501.4163085152,6644.4402713285,8571.5430880916
2021-08-20,8305.7284823922,7778.8662500859,7008.4657977031,9033.3554795122
2021-08-21,8511.0590187861,7674.5433908982,6937.3331480542,8754.1343104509
2021-08-22,8931.4287017351,7715.8704569123,6996.6364068057,8748.5277085899
2021-08-23,9025.3904009586,7830.0659603077,7032.1075281238,8964.3614580439
2021-08-24,8418.6243312056,7488.9299563605,6774.2282275068,8516.2639866390
2021-08-25,8668.3243669173,7636.4237547844,6958.8534033265,8694.8635222595
2021-08-26,8258.2353387293,7226.7108253296,6656.2696622260,8536.3945214387
