date,strategy,symbol,weight
2021-05-01,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2847367339
2021-05-01,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-01,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2152632661
2021-05-02,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2847367339
2021-05-02,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-02,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2152632661
2021-05-03,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2847367339
2021-05-03,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-03,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2152632661
2021-05-04,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2847367339
2021-05-04,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-04,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2152632661
2021-05-05,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2594220719
2021-05-05,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-05,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2405779281
2021-05-06,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2594220719
2021-05-06,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-06,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2405779281
2021-05-07,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2966676402
2021-05-07,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-07,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2033323598
2021-05-08,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2966676402
2021-05-08,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-08,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2033323598
2021-05-09,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2966676402
2021-05-09,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-09,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2033323598
2021-05-10,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2966676402
2021-05-10,PIT_ALPHA_0018_ELIGIBILITY_EXIT,BTCUSDT,0.5000000000
2021-05-10,PIT_ALPHA_0018_ELIGIBILITY_EXIT,THETAUSDT,0.2033323598
2021-05-11,PIT_ALPHA_0018_ELIGIBILITY_EXIT,ADAUSDT,0.2966676402
