event_id,event_class,terminal_label,anchor_date,profile,bucket,state,first_occurrence_date,offset_days
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,target_lead,DE_RISK_1,2021-03-30,-14
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,near_event,LATE_BULL_ROTATION,2021-04-08,-5
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,near_event,EXHAUSTION_WATCH,2021-04-07,-6
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,immediate_after,NORMAL_BULL,2021-05-01,18
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,immediate_after,BTC_LEADERSHIP_MATURING,2021-04-24,11
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,immediate_after,LATE_BULL_ROTATION,2021-04-14,1
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,NORMAL_BULL,2021-05-12,29
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,BTC_LEADERSHIP_MATURING,2021-06-20,68
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,LATE_BULL_ROTATION,2021-06-13,61
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,EXHAUSTION_WATCH,2021-06-06,54
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,DE_RISK_1,2021-05-30,47
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,CONSERVATIVE,medium_after,DE_RISK_2,2021-05-21,38
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,early_warning,EXHAUSTION_WATCH,2021-07-05,-15
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,early_warning,DE_RISK_1,2021-06-30,-20
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,early_warning,DE_RISK_2,2021-06-22,-28
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,target_lead,LATE_BULL_ROTATION,2021-07-10,-10
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,target_lead,EXHAUSTION_WATCH,2021-07-06,-14
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,near_event,NORMAL_BULL,2021-07-20,0
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,near_event,BTC_LEADERSHIP_MATURING,2021-07-15,-5
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,near_event,LATE_BULL_ROTATION,2021-07-14,-6
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,immediate_after,NORMAL_BULL,2021-07-21,1
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,immediate_after,LATE_BULL_ROTATION,2021-08-05,16
