event_id,event_class,terminal_label,anchor_date,profile,bucket,classified_rows,normal_bull_count,normal_bull_fraction,btc_leadership_maturing_count,btc_leadership_maturing_fraction,late_bull_rotation_count,late_bull_rotation_fraction,exhaustion_watch_count,exhaustion_watch_fraction,de_risk_1_count,de_risk_1_fraction,de_risk_2_count,de_risk_2_fraction,flat_count,flat_fraction,de_risk_1_or_worse_fraction
P5C-2024-MAR-MAY-MASKING,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2024-03-19,CONSERVATIVE,immediate_after,28,0,0,8,0.285714285714,7,0.25,13,0.464285714286,0,0,0,0,0,0,0
P5C-2024-MAR-MAY-MASKING,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2024-03-19,CONSERVATIVE,medium_after,62,30,0.483870967742,1,0.0161290322581,23,0.370967741935,8,0.129032258065,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,EARLY,early_warning,14,0,0,0,0,0,0,3,0.214285714286,5,0.357142857143,6,0.428571428571,0,0,0.785714285714
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,EARLY,target_lead,8,0,0,0,0,3,0.375,5,0.625,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,EARLY,near_event,7,0,0,2,0.285714285714,4,0.571428571429,0,0,0,0,1,0.142857142857,0,0,0.142857142857
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,EARLY,immediate_after,28,0,0,0,0,5,0.178571428571,13,0.464285714286,5,0.178571428571,5,0.178571428571,0,0,0.357142857143
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,EARLY,medium_after,62,0,0,0,0,10,0.161290322581,42,0.677419354839,5,0.0806451612903,5,0.0806451612903,0,0,0.161290322581
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,BALANCED,early_warning,14,0,0,0,0,5,0.357142857143,5,0.357142857143,4,0.285714285714,0,0,0,0,0.285714285714
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,BALANCED,target_lead,8,0,0,3,0.375,5,0.625,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,BALANCED,near_event,7,3,0.428571428571,4,0.571428571429,0,0,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,BALANCED,immediate_after,28,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,BALANCED,medium_after,62,21,0.338709677419,0,0,18,0.290322580645,23,0.370967741935,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,CONSERVATIVE,early_warning,14,0,0,0,0,1,0.0714285714286,7,0.5,6,0.428571428571,0,0,0,0,0.428571428571
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,CONSERVATIVE,target_lead,8,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,CONSERVATIVE,near_event,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,CONSERVATIVE,immediate_after,28,8,0.285714285714,14,0.5,6,0.214285714286,0,0,0,0,0,0,0,0,0
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,CONSERVATIVE,medium_after,62,23,0.370967741935,5,0.0806451612903,24,0.387096774194,10,0.161290322581,0,0,0,0,0,0,0
