date,profile,market_state,raw_candidate_state,ordinary_inputs_complete,minimum_calibration_depth,mature_texture,rotation,exhaustion,strong_exhaustion,damage,strong_damage,divergence_subchannel,momentum_failure_subchannel,breadth_transition_subchannel
2023-05-30,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,True,False
2023-05-31,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-05-31,BALANCED,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,False,True,False,False,False,False,False,False,False
2023-05-31,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,True,False
2023-06-01,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-01,EARLY,LATE_BULL_ROTATION,EXHAUSTION_WATCH,True,365,False,True,True,False,False,False,False,True,True
2023-06-01,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-02,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,False
2023-06-02,CONSERVATIVE,BTC_LEADERSHIP_MATURING,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,False
2023-06-02,BALANCED,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,False
2023-06-03,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,False
2023-06-03,CONSERVATIVE,BTC_LEADERSHIP_MATURING,LATE_BULL_ROTATION,True,365,False,True,False,False,False,False,False,False,False
2023-06-03,BALANCED,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,False,True,False,False,False,False,False,False,False
2023-06-04,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,False
2023-06-04,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-04,BALANCED,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,False,True,False,False,False,False,False,False,False
2023-06-05,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,True,False
2023-06-05,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,True,False,False,True,False,False,True,False
2023-06-05,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,True,False,False,True,False,False,True,False
2023-06-06,BALANCED,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,False,True,False,False,False,False,False,False,True
2023-06-06,EARLY,LATE_BULL_ROTATION,LATE_BULL_ROTATION,True,365,True,True,False,False,False,False,False,False,True
2023-06-06,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-07,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-07,EARLY,LATE_BULL_ROTATION,DE_RISK_1,True,365,False,True,True,False,True,False,False,True,True
2023-06-07,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-08,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-08,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,True,False,False,True,False,False,False,True
2023-06-08,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-09,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-09,CONSERVATIVE,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-09,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,True,False,False,True,False,False,False,True
2023-06-10,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,True,False
2023-06-10,BALANCED,LATE_BULL_ROTATION,EXHAUSTION_WATCH,True,365,False,False,True,False,False,False,False,True,True
2023-06-10,EARLY,LATE_BULL_ROTATION,DE_RISK_1,True,365,False,False,True,False,True,False,False,True,True
2023-06-11,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-11,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-11,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-12,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-12,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-12,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-13,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-13,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-13,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
