start,end,days,mean_aggregate,mean_short_weighted,mean_long_weighted,btc_return_over_episode,btc_fwd_10d_from_start
2021-04-21,2021-04-23,3,0.4181446587560805,-0.15604420922937723,0.5741888679854578,-0.04950004303963562,0.07460339858811404
2021-04-25,2021-04-25,1,0.40711145295427664,-0.1449201678841903,0.552031620838467,0.0,0.17057042882586337
2021-05-10,2021-05-10,1,0.4551036743964549,-0.039600401410849785,0.4947040758073047,0.0,-0.27392614394331105
2021-05-12,2021-05-18,7,0.22377122573926092,-0.21062189993262512,0.434393125671886,-0.13663831628898848,-0.24544158809396965
2021-05-20,2021-05-22,3,0.04665692458908186,-0.32767171812921236,0.3743286427182942,-0.07592314586158622,-0.12054712653207866
2021-05-24,2021-05-27,4,0.0893594170118203,-0.3056823116340481,0.3950417286458684,-0.006864316149817307,0.01161193505873892
2021-05-31,2021-06-03,4,0.01135918287073362,-0.31923926569784017,0.3305984485685738,0.05349734698276509,-0.015517607460820648
2021-09-28,2021-09-28,1,0.0426823224885296,-0.11583945369539882,0.15852177618392843,0.0,0.315037290495372
2023-05-16,2023-05-16,1,0.30037587809390554,-0.10247286668549674,0.4028487447794023,0.0,-0.012129982274068474
2023-05-18,2023-05-27,10,0.19533156961327466,-0.16972610607725713,0.3650576756905318,0.0012299934977004767,0.04637064301181759
2023-06-04,2023-06-14,11,0.1622579192316757,-0.1708950944972069,0.3331530137288826,-0.07326552145456366,-0.07326552145456366
2023-06-16,2023-06-19,4,0.10635110873685903,-0.1816291386639956,0.2879802474008546,0.01895426077054463,0.14890833175175566
2023-08-29,2023-08-29,1,0.007879788900920337,-0.23899717546318983,0.2468769643641102,0.0,-0.06515434577581314
2023-09-19,2023-09-19,1,0.0027003565229443416,-0.15698004963503687,0.1596804061579812,0.0,-0.01114653075714822
2024-02-05,2024-02-05,1,0.5154546449945523,-0.03416501581875234,0.5496196608133046,0.0,0.21474079051809114
2024-04-30,2024-05-03,4,0.35309072661209534,-0.15513477763553024,0.5082255042476256,0.036425534018987404,0.002109539820674966
2024-05-06,2024-05-06,1,0.46154679209253596,-0.06705103400620217,0.5285978260987381,0.0,0.0327715312817074
2024-05-08,2024-05-14,7,0.3364931673161021,-0.18214120698689165,0.5186343743029936,0.006282741678259818,0.09351015957209508
2024-06-09,2024-06-10,2,0.47912066943522624,-0.055044603744173526,0.5341652731793998,-0.0015526617078359672,-0.06710545321095429
2024-06-20,2024-06-28,9,0.20108621575205635,-0.17303835676924123,0.37412457252129755,-0.06847773523627798,-0.03234130296613269
2024-07-02,2024-07-02,1,0.031869337696524086,-0.14303301570431975,0.17490235340084384,0.0,-0.0683405146850905
2024-08-13,2024-08-13,1,0.010725283769319915,-0.15163749737361576,0.16236278114293567,0.0,0.05694425303055173
2024-08-21,2024-08-22,2,0.03747342024798948,-0.08447169269105885,0.12194511293904833,-0.012757368324922358,-0.0356798830793954
2024-08-28,2024-08-30,3,0.07843740809658241,-0.09178887723431654,0.17022628533089898,0.0015091073246502607,-0.08256200992971952
2024-09-09,2024-09-11,3,0.031197312263616845,-0.0699252613547201,0.10112257361833694,0.005189158865397392,0.10353756880894771
2025-02-04,2025-02-19,16,0.3445348586700012,-0.14740872171766697,0.49194358038766817,-0.011443577962366835,-0.0026865956521646694
2025-02-22,2025-03-08,15,0.2245828499280854,-0.19538209712215077,0.4199649470502361,-0.106975162662721,-0.09600137792447738
2025-08-31,2025-09-01,2,0.14580720905143926,-0.12326340403275282,0.2690706130841921,0.009155689776144893,0.05278376591912792
2025-09-07,2025-09-09,3,0.1452555685587669,-0.10403914229758114,0.24929471085634805,0.0036805811620108653,0.047780970824027325
2025-09-11,2025-09-11,1,0.21885925363767197,-0.09024778090492405,0.309107034542596,0.0,-0.0021682903299188316
2025-10-10,2025-10-11,2,0.054655150049487775,-0.1444976823904101,0.1991528324398979,-0.01888813517240162,-0.019884016333479693
2025-10-14,2025-10-14,1,0.15379947050189285,-0.06418158899234483,0.21798105949423768,0.0,-0.01790040957941974
2025-10-16,2025-10-16,1,0.01118236880943023,-0.13898038074460492,0.15016274955403516,0.0,0.05883046682319981
2025-10-19,2025-10-20,2,0.11333472711820718,-0.10549892817883624,0.2188336552970434,0.017390110967337113,0.012688463973399733
2025-10-23,2025-10-23,1,0.04485286924544016,-0.16193254658029338,0.20678541582573354,0.0,0.004201559291768797
2025-10-25,2025-10-25,1,0.1564354060122902,-0.11025924318212907,0.26669464919441926,0.0,-0.09090361908194522
2025-11-01,2025-11-02,2,0.11779945039823261,-0.0964917638468512,0.2142912142450838,0.004019869552698729,-0.06393489079284742
