date,comp_20,weighted_20,comp_60,weighted_60,comp_120,weighted_120,comp_240,weighted_240,aggregate_from_components,short_weighted,long_weighted,long_minus_short,mask20,mask20_60,existing_btc_trend,btc_drawdown_252,btc_fwd_1d,btc_fwd_5d,btc_fwd_10d
2020-08-11,,,,,,,,,,,,,False,False,,,0.015120153650606483,0.045550944164717944,0.012224282132850206
2020-08-12,,,,,,,,,,,,,False,False,,,0.0186495888650704,0.0619837033360342,0.008528812304733568
2020-08-13,,,,,,,,,,,,,False,False,,,-0.0016519524617996106,0.014007640067911664,-0.011194397283531443
2020-08-14,,,,,,,,,,,,,False,False,,,0.007810865827589497,-0.0005059291495118634,-0.0010492715470548086
2020-08-15,,,,,,,,,,,,,False,False,,,0.004944146333232036,9.702676251222009e-05,-0.04505247882285446
2020-08-16,,,,,,,,,,,,,False,False,,,0.031074636890269458,-0.031874737637477946,-0.037744102090504605
2020-08-17,,,,,,,,,,,,,False,False,,,-0.02736881703882288,-0.05033494474856959,-0.07741551469612329
2020-08-18,,,,,,,,,,,,,False,False,,,-0.015941384728853314,-0.024853892964509905,-0.035002063623220114
2020-08-19,,,,,,,,,,,,,False,False,,,0.008418838938661244,-0.0005436174294466412,-0.02456487210527969
2020-08-20,,,,,,,,,,,,,False,False,,,-0.027182573996819448,-0.045145125300015576,-0.012012435093284202
2020-08-21,,,,,,,,,,,,,False,False,,,0.01141411145625737,-0.0060626085086381565,0.010247724895805721
2020-08-22,,,,,,,,,,,,,False,False,,,-0.001271546845740712,-0.028515917057076456,0.02220791291404578
2020-08-23,,,,,,,,,,,,,False,False,,,0.008591078567976362,-0.010406820665634697,-0.02228598066814147
2020-08-24,,,,,,,,,,,,,False,False,,,-0.03658262542346913,-0.02403432015117213,-0.13681670383548117
2020-08-25,,,,,,,,,,,,,False,False,,,0.012635155790295949,0.03469918946284012,-0.07705757517392009
2020-08-26,,,,,,,,,,,,,False,False,,,-0.011434000818397072,0.016409819717085883,-0.11296496161473746
2020-08-27,,,,,,,,,,,,,False,False,,,0.017345402360732898,0.05221272366857943,-0.09480529337939225
2020-08-28,,,,,,,,,,,,,False,False,,,-0.005298037375150777,-0.012004084355651146,-0.10006758099091595
2020-08-29,,,,,,,,,,,,,False,False,,,0.021395728529266078,-0.11555978454260651,-0.11679824592005472
2020-08-30,,,,,,,,,,,,,False,False,,,-0.005264209523223928,-0.10800894189815524,-0.12739643212115614
2020-08-31,0.2717207923904458,0.040758118858566866,,,,,,,,,,,False,False,,,0.023388108169356325,-0.12728604035706215,-0.11267770060714999
2020-09-01,0.3550851556232029,0.05326277334348044,,,,,,,,,,,False,False,,,-0.044743444246210906,-0.13972271361192812,-0.1286767203742335
2020-09-02,-0.3497493810979106,-0.052462407164686586,,,,,,,,,,,False,False,,,-0.1095566244663495,-0.08913346223484309,-0.08320820754899227
2020-09-03,-0.7646378413395309,-0.11469567620092963,,,,,,,,,,,False,False,,,0.03011581869369917,-0.0014002770970875655,0.018931351908370475
2020-09-04,-0.6836860744347758,-0.10255291116521636,,,,,,,,,,,False,False,,,-0.02676175661122404,-0.021735072394399868,0.021588608352279604
2020-09-05,-0.7787185155189607,-0.11680777732784409,,,,,,,,,,,False,False,,,0.008804242088624736,0.01673897797611623,0.06084772920193293
2020-09-06,-0.8398034665598689,-0.12597051998398034,,,,,,,,,,,False,False,,,0.011431134338253823,0.01284003822078339,0.06803786977633042
2020-09-07,-0.7424111972024782,-0.11136167958037173,,,,,,,,,,,False,False,,,-0.02379056513557709,0.00650507449794846,0.05461544097232918
2020-09-08,-0.7637353240152162,-0.11456029860228242,,,,,,,,,,,False,False,,,0.009139251381256486,0.020360138841571507,0.07966504224003002
2020-09-09,-0.7614894166938247,-0.11422341250407371,,,,,,,,,,,False,False,,,0.011514599968686312,0.04428624549866922,0.08429720526068563
2020-09-10,-0.628609632349126,-0.0942914448523689,,,,,,,,,,,False,False,,,0.004935730061420784,0.04338257131994494,0.056439715310340643
2020-09-11,-0.6560784319749366,-0.09841176479624049,,,,,,,,,,,False,False,,,0.005104982821342974,0.054498074199861746,0.0028234800330000365
2020-09-12,-0.6297328256030595,-0.09445992384045893,,,,,,,,,,,False,False,,,-0.01035253598341912,0.04779942763664491,0.00849446217383143
2020-09-13,-0.7030989685823983,-0.10546484528735973,,,,,,,,,,,False,False,,,0.03280224294796308,0.05812154075892084,-0.008842688789034603
2020-09-14,-0.37765606080791214,-0.05664840912118682,,,,,,,,,,,False,False,,,0.010639284767194113,0.038314169064737946,0.00604866859012132
2020-09-15,-0.3895039989077058,-0.05842559983615587,,,,,,,,,,,False,False,,,0.015641645905402957,0.01251424391139433,-0.009145773278653957
2020-09-16,-0.22335347469155337,-0.033503021203733004,,,,,,,,,,,False,False,,,-0.001279896585816509,-0.04900397206137308,-0.020577852311619238
2020-09-17,-0.3404577503170408,-0.05106866254755612,,,,,,,,,,,False,False,,,-0.0006032912278713942,-0.037511917286944474,-0.015149922440514052
2020-09-18,-0.3119402568777722,-0.04679103853166583,,,,,,,,,,,False,False,,,0.013468832631050365,-0.06328595248134383,-0.021701411913413793
2020-09-19,-0.36132889006760804,-0.0541993335101412,,,,,,,,,,,False,False,,,-0.014472977668277487,-0.031074891815913275,-0.021674721248302276
2020-09-20,-0.4141528406704992,-0.06212292610057488,,,,,,,,,,,False,False,,,-0.04606658437329458,-0.02139230862212327,-0.013158087521565442
2020-09-21,-0.7154207854346257,-0.10731311781519386,,,,,,,,,,,False,False,,,0.010788866895390603,0.029890892195806762,0.01938233041060866
2020-09-22,-0.4927275987065202,-0.07390913980597803,,,,,,,,,,,False,False,,,-0.027365685908595005,0.02323352906707843,0.003873837682497161
2020-09-23,0.10945386411819057,0.016418079617728586,,,,,,,,,,,False,False,,,0.04831928260228535,0.044394061003021124,0.029351283898975344
2020-09-24,0.27448044060648935,0.0411720660909734,,,,,,,,,,,False,False,,,-0.004624489583022862,0.00970164823701225,-0.006491050937379006
2020-09-25,0.4911454019039428,0.07367181028559142,,,,,,,,,,,False,False,,,0.003923579562202351,0.008414220706730813,0.009875854686258512
2020-09-26,0.45139236623749035,0.06770885493562355,,,,,,,,,,,False,False,,,0.004254982010700292,-0.010203568033107846,-0.012018343493093275
2020-09-27,0.3898290915969627,0.058474363739544406,,,,,,,,,,,False,False,,,-0.007251548831705201,-0.018920110448523153,-0.010010905631482547
2020-09-28,0.5494677418476229,0.08242016127714344,,,,,,,,,,,False,False,,,0.013496482836766965,-0.01440335373948698,0.0214517039823785
2020-09-29,0.580384105091783,0.08705761576376744,,,,,,,,,,,False,False,,,-0.005893650465662037,-0.016037112747775084,0.019386595427508757
2020-09-30,0.43681350080696013,0.06552202512104402,,,,,,,,,,,False,False,,,-0.01461130097739649,0.0014494380875582635,0.04794002555539367
2020-10-01,0.23869707208406662,0.03580456081260999,,,,,,,,,,,False,False,,,-0.004588888166921379,-0.0018334835339617328,0.07061689611107513
2020-10-02,0.1353137587769666,0.020297063816544992,,,,,,,,,,,False,False,,,-0.0026810716718383976,0.009081018693710696,0.09061624914856581
2020-10-03,0.2194537641668597,0.03291806462502895,,,,,,,,,,,False,False,,,0.011816476096702111,0.0363790378730533,0.0833328590427298
2020-10-04,-0.005699290663688846,-0.0008548935995533269,,,,,,,,,,,False,False,,,0.011773165470256197,0.0360010612536481,0.0704308671061058
2020-10-05,0.0075520668200568805,0.001132810023008532,,,,,,,,,,,False,False,,,-0.0178415727640584,0.04642329976900017,0.06605783245507646
2020-10-06,-0.36918579591760986,-0.05537786938764148,,,,,,,,,,,False,False,,,0.006295484949517149,0.07258346022419593,0.06789463058249035
2020-10-07,-0.2886978633986021,-0.04330467950979031,,,,,,,,,,,False,False,,,0.024298755248964188,0.08080147078814859,0.06504637464034246
2020-10-08,-0.008047183412957841,-0.001207077511943676,,,,,,,,,,,False,False,,,0.011447457661247773,0.045305645380515625,0.052864061097041226
2020-10-09,-0.030594552232528122,-0.0045891828348792185,,,,,,,,,,,False,False,,,0.021951669767542814,0.033233369289018544,0.06341985622552171
